titre_commentaire,commentaire,Date_Avis,Ville,Pays,Date_Sejour,Note,Photo,langue
"['super', 'hôtel', 'thème', 'disneyland', 'paris']","['super', 'hôtel', 'thème', 'décors', 'couper', 'souffle', 'chambres', 'spacieuses', 'bien', 'équipée', 'machine', 'café', 'bouilloire', 'thé', 'petite', 'attention', 'souvenir', 'personnel', 'accueil', 'boutique', 'bagagerie', 'top', 'très', 'serviable', 'aimable', 'petit', 'soin']",déc 2022,Valenciennes, France,décembre 2022,5,yes,fr
"['hôtel', 'new', 'york', 'merveille']","['fantastique', 'hôtel', 'new', 'york', 'près', 'chambres', 'assez', 'propres', 'détail', 'quand', 'reviennent', 'aprèsmidi', 'super', 'soulignerais', 'boutiqueboutique', 'downtown', 'espace', 'enfants', 'peuvent', 'dessiner', 'acheté', 'désodorisant', 'hôtel', 'maison', 'sent', 'bon', 'point', 'améliorer', 'dirais', 'pourraient', 'être', 'peu', 'plus', 'agiles', 'moment', 'file', 'attente', 'entrer', 'restaurant', 'prix', 'très', 'élevé', 'tout', 'monde', 'peut', 'permettre']",déc 2022,Gérone, Espagne,décembre 2022,5,no,es
"['très', 'bien', 'situé', 'trop', 'cher']","['hôtel', 'très', 'bien', 'situé', 'minute', 'pied', 'parcs', 'personnel', 'sympathique', 'très', 'serviable', 'hôtel', 'déçu', 'petit', 'déjeuner', 'médiocre', 'propreté', 'chambres', 'plan', 'repas', 'petitdéjeuner', 'buffet', 'volonté', 'bacon', 'filandreux', 'comme', 'caoutchouc', 'œuf', 'brouillé', 'bol', 'bouillie', 'aqueuse', 'mari', 'juste', 'mangé', 'croissant', 'tous', 'jours', 'car', 'petit', 'déjeuner', 'horrible', 'fille', 'réussi', 'manger', 'crêpes', 'moitié', 'cuites', 'petit', 'déjeuner', 'très', 'cher', 'qualité', 'nourriture', 'maintenant', 'chambres', 'part', 'quelques', 'photo', 'mur', 'rien', 'miroir', 'géant', 'pièce', 'également', 'écran', 'télévision', 'couvert', 'poussière', 'lorsque', 'placez', 'briquet', 'audessus', 'télévision', 'accentuez', 'davantage', 'poussière', 'meuble', 'côté', 'télé…']",déc 2022,Maidstone, Royaume-Uni,décembre 2022,3,yes,en
"['super', 'hôtel', 'personnel', 'adorable']","['avon', 'séjourné', 'ici', 'pendant', 'deux', 'nuits', 'lors', 'visite', 'disneyland', 'paris', 'charmant', 'chambres', 'récemment', 'rénovées', 'offraient', 'beaucoup', 'espace', 'ensemble', 'elles', 'fait', 'travail', 'formidable', 'refaisant', 'entrée', 'hôtel', 'peu', 'lente', 'contrôle', 'sécurité', 'dépôt', 'bagages', 'enregistrement', 'assez', 'rapide', 'pouvez', 'enregistrer', 'tout', 'moment', 'obtenir', 'billet', 'puis', 'revenir', 'après', 'heures', 'obtenir', 'numéro', 'chambre', 'considérant', 'quartier', 'familial', 'hôtel', 'avon', 'entendu', 'beaucoup', 'bruit', 'couloir', 'décoration', 'chambres', 'hôtel', 'incroyable', 'avon', 'acheté', 'petitdéjeuner', 'proposait', 'large', 'choix', 'plat', 'chauds', 'froids', 'permis', 'bien', 'commencer', 'journée', 'proximité', 'village', 'ainsi', 'deux', 'parcs', 'super', 'autres', 'bar', 'restaurant', 'semblaient', 'assez…']",déc 2022,Adelaïde, Australie,novembre 2022,5,no,en
"['excellente', 'option', 'rester', 'pendant', 'vue']","['lors', 'séjour', 'paris', 'avon', 'choisi', 'cet', 'hôtel', 'dispose', 'tous', 'conforts', 'très', 'positif', 'passer', 'transe', 'bilan', 'social', 'visite', 'mickey', 'mouse', 'imposaient', 'quand', 'enfants', 'fille', 'garçon', 'fait', 'première', 'communion', 'lieu', 'super', 'sortez', 'hôtel', 'retrouvez', 'premier', 'contrôle', 'accès', 'faut', 'très', 'peu', 'marche', 'atteindre', 'tourniquet', 'installation', 'hôtel', 'inspiré', 'hébergements', 'newyorkais', 'vraiment', 'fait', 'décoration', 'style', 'plaira', 'plus', 'petits', 'ceux', 'déjà', 'peu', 'démodés', 'comme', 'chambres', 'spacieux', 'confortable', 'bons', 'lit', 'idéal', 'famille', 'tout', 'très', 'bien', 'petitdéjeuner', 'parfois', 'peu', 'chaotique', 'parce', 'que…']",déc 2022,Huercal-Overa, Espagne,décembre 2022,5,no,es
"['vaut', 'peine', 'être', 'répété']","['hotel', 'new', 'york', 'the', 'art', 'endroit', 'super', 'confortable', 'gen', 'sympathiques', 'serviables', 'atmosphère', 'joyeuse', 'tout', 'personnel', 'manquer', 'cela', 'vaut', 'vraiment', 'peine', 'être', 'répété', 'nourriture', 'végétalienne', 'également', 'bonne', 'très', 'savoureuse', 'haut']",déc 2022,Poelkapelle, Belgique,décembre 2022,5,yes,nl
"['très', 'cher', 'super', 'héros', 'hôtel', 'mauvais', 'service']","['grandes', 'attentes', 'car', 'avon', 'payé', 'nuit', 'avon', 'très', 'déçus', 'super', 'héros', 'hôtel', 'service', 'très', 'médiocre', 'surtout', 'restaurant', 'buffet', 'chambres', 'belle', 'grandes', 'proximité', 'qualité', 'prix', 'médiocre', 'absence', 'super', 'héros', 'fait', 'visite', 'très', 'décevante', 'enfants', 'recommanderions', 'cet', 'hôtel', 'car', 'attentes', 'répondront', 'espérez', 'obtenir']",déc 2022,Pays-Bas,None,décembre 2022,2,no,en
"['définition', 'luxe', 'hôtel', 'rêves']","['cet', 'hôtel', 'réalisé', 'rêves', 'venu', 'ici', 'femme', 'fils', 'réservé', 'chambre', 'standard', 'avon', 'surclassés', 'gratuitement', 'suite', 'super', 'hero', 'toutes', 'commodités', 'vip', 'incluses', 'accueil', 'vip', 'petitdéjeuner', 'vip', 'empire', 'state', 'longue', 'plus', 'encore', 'tellement', 'excités', 'touchés', 'façon', 'dont', 'personnel', 'traités', 'début', 'fin', 'être', 'proche', 'disneyland', 'paris', 'cerise', 'gâteau', 'merci', 'beaucoup', 'cette', 'expérience', 'magique', 'irréelle']",déc 2022,Rehovot, Israël,décembre 2022,5,no,en
"['plusieurs', 'reprises', 'tient', 'promet']","['vaut', 'toujours', 'détour', 'faisait', 'beau', 'cette', 'fois', 'aussi', 'malheureusement', 'revanche', 'hotel', 'new', 'york', 'décline', 'plus', 'plus', 'devient', 'simple', 'arnaque', 'réservé', 'chambre', 'empire', 'state', 'club', 'euro', 'nuit', 'entrée', 'comprise', 'plus', 'hall', 'entrée', 'tout', 'point', 'négatifs', 'service', 'réception', 'dramatiquement', 'médiocre', 'tout', 'intéressé', 'répondre', 'demandes', 'client', 'chambres', 'deviennent', 'plus', 'plus', 'sale', 'année', 'année', 'couloirs', 'hôtel', 'dramatiquement', 'sale', 'compris', 'couloir', 'empire', 'state', 'club', 'salon', 'ème', 'étage', 'blague', 'boissons', 'limitées', 'nourriture', 'noix', 'salon', 'rezdechaussée', 'joliment', 'meublé', 'nourriture', 'mauvaise', 'souvent', 'froide', 'manque', 'généralement', 'quelque', 'chose', 'assez', 'choses', 'saines']",nov 2022,Mayence, Allemagne,novembre 2022,2,no,de
"['attendais', 'mieux']","['peu', 'déçue', 'hôtel', 'très', 'belle', 'chambres', 'literie', 'personnel', 'top', 'petit', 'déjeuner', 'très', 'classique', 'côté', 'peu', 'surfait', 'dépaysée', 'charmée', 'comme', 'hôtel', 'disneyland', 'plus', 'aucune', 'réduction', 'fast', 'offert', 'trop', 'cher', 'rapport', 'prestations']",nov 2022,None, None,novembre 2022,4,no,fr
"['emplacement', 'incroyable']","['voyage', 'première', 'fois', 'séjournais', 'hny', 'dîné', 'ici', 'avant', 'rénovations', 'très', 'impressionné', 'hôtel', 'rénovations', 'thématique', 'excellente', 'somme', 'arrivés', 'heure', 'déjeuner', 'avon', 'ravis', 'apprendre', 'chambre', 'prête', 'chambre', 'propre', 'moderne', 'spacieuse', 'personnel', 'excellent', 'partout', 'rien', 'trop', 'demander', 'problème', 'mineur', 'laissezpasser', 'magiques', 'arrivée', 'dame', 'réception', 'rapidement', 'réglé', 'problème', 'plan', 'repas', 'avon', 'pris', 'petit', 'déjeuner', 'dîner', 'hôtel', 'tous', 'deux', 'excellents', 'beaucoup', 'choix', 'nourriture', 'chaude', 'etc', 'enfants', 'adoré', 'avantage', 'station', 'superhéros', 'équipement', 'merveilleux', 'piscine', 'également', 'plu', 'piscine', 'immense', 'peutêtre', 'peu', 'froide', 'problème', 'le…']",nov 2022,Kildare, Irlande,novembre 2022,5,no,en
['ravie'],"['avon', 'vraiment', 'apprécié', 'nuit', 'cet', 'hôtel', 'chambres', 'comme', 'photo', 'miroir', 'fait', 'télé', 'trop', 'classe', 'lit', 'super', 'confortables', 'hôtel', 'juste', 'magnifique', 'chaque', 'étage', 'personnage', 'étoiles', 'car', 'trouve', 'prix', 'payons', 'pourrions', 'moins', 'avoir', 'petit', 'déjeuner', 'compris', 'simple', 'buffet', 'volonté', 'viennoiseries', 'moins', 'chambres', 'avon', 'café', 'disposition', 'déjà', 'tout', 'resterons', 'enchanté', 'séjour']",nov 2022,None, None,novembre 2022,4,no,fr
"['mauvaise', 'expérience', 'hôtelière']","['prix', 'exagéré', 'service', 'rhum', 'très', 'mauvais', 'nettoyage', 'sol', 'seulement', 'rangement', 'plupart', 'housses', 'rangées', 'non', 'remplacées', 'housse', 'neuve', 'serviette', 'volée', 'sachant', 'couleur', 'couleur', 'serviette', 'hôtel', 'savaient', 'restituée', 'chambre', 'équipée', 'client', 'niveau', 'chaussures']",nov 2022,None, None,novembre 2022,2,no,ar
"['bon', 'hôtel', 'excellent', 'emplacement']","['chambres', 'salle', 'bain', 'très', 'spacieuses', 'décoration', 'très', 'sympa', 'surtout', 'fan', 'bon', 'nettoyage', 'petit', 'déjeuner', 'buffet', 'très', 'bon', 'varié', 'dîners', 'bons', 'quelque', 'chose', 'enthousiasmant', 'estàdire', 'mangiez', 'tous', 'dessert', 'thème', 'impossible', 'réserver', 'dîners', 'avant', 'aller', 'fois', 'place', 'réception', 'réussi', 'réserver', 'dîner', 'sans', 'problème', 'restaurant', 'buffet', 'celui', 'voulions', 'trouve', 'minute', 'pied', 'parcs', 'donc', 'très', 'pratique', 'devez', 'retourner', 'hôtel', 'juste', 'côté', 'village', 'très', 'proche', 'arrêt', 'train', 'trouve', 'côté', 'village', 'rencontres', 'personnages', 'super', 'avon', 'spiderman', 'ensuite', 'avon', 'prendre', 'photo', 'paramètres', 'marvel…']",nov 2022,Santander, Espagne,mai 2022,4,yes,es
"['bel', 'hôtel', 'personnel', 'réception', 'incompétent']","['très', 'bel', 'hôtel', 'très', 'bien', 'situé', 'très', 'joliment', 'meublé', 'décoré', 'vaut', 'vraiment', 'peine', 'être', 'proche', 'plus', 'commodité', 'ensemble', 'service', 'horrible', 'voyagions', 'enfant', 'mois', 'enfant', 'mois', 'avant', 'partir', 'envoyé', 'email', 'hôtel', 'demander', 'lit', 'bébé', 'placé', 'chambre', 'plus', 'jeune', 'hôtel', 'répondu', 'rapidement', 'disant', 'problème', 'fait', 'somme', 'arrivés', 'hôtel', 'vers', 'toute', 'évidence', 'enregistrement', 'plus', 'tard', 'bien', 'avon', 'rapidement', 'vus', 'réception', 'avon', 'reçu', 'laissezpasser', 'magiques', 'momentlà', 'parlé', 'monsieur', 'rappelé', 'lit', 'chambre', 'dit', 'déjà', 'ajouté', 'système', 'note', 'quand', 'chambre', 'donc…']",nov 2022,london,None,novembre 2022,3,no,en
"['avis', 'mitigé']","['bel', 'hôtel', 'neuf', 'magique', 'yeux', 'enfants', 'regardant', 'plus', 'près', 'surtout', 'prix', 'supérieur', 'nuits', 'chambres', 'faites', 'correctement', 'linge', 'sale', 'taché', 'oublié', 'chambre', 'bouteille', 'eau', 'bienvenue', 'jour', 'jours', 'suivants', 'capsule', 'café', 'remplacer', 'serviette', 'bain', 'sale', 'changé', 'repliée', 'faire', 'croire', 'lit', 'heureusement', 'assez', 'fin', 'faire', 'queue', 'boire', 'coup', 'bar', 'super', 'après', 'journée', 'éreintante', 'parcs', 'resto', 'self', 'petit', 'dej', 'comme', 'partout', 'moyen', 'moyen']",nov 2022,Calvi, France,novembre 2022,3,no,fr
['fabuleux'],"['superbe', 'accueil', 'castmembers', 'réception', 'conciergerie', 'bagagerie', 'restaurant', 'hôtel', 'magnifiquement', 'rénové', 'hall', 'entrée', 'juste', 'wawhou', 'prend', 'plein', 'yeux', 'nez', 'adore', 'parfum', 'ambiance', 'diffusé', 'disposais', 'chambre', 'grand', 'lit', 'double', 'très', 'jolie', 'très', 'propre', 'très', 'grande', 'tout', 'confort', 'nécessaire', 'intégrée', 'miroir', 'super', 'chouette', 'aimé', 'vue', 'chambre', 'lac', 'proximité', 'hôtel', 'village', 'parcs', 'profiter', 'expérience', 'bar', 'skyline', 'restaurant', 'manhattan', 'désolée', 'trouve', 'point', 'négatifs', 'tout', 'parfait', 'chambre']",nov 2022,Toulouse, France,novembre 2022,5,yes,fr
"['quel', 'hôtel']","['quel', 'hôtel', 'somme', 'venus', 'noël', 'cet', 'hôtel', 'venait', 'ouvrir', 'origine', 'réservé', 'principal', 'hôtel', 'pink', 'fermé', 'rénovation', 'donné', 'comme', 'alternative', 'déçu', 'étonnamment', 'thématique', 'bar', 'fantastiques', 'boissons', 'géniales', 'nourriture', 'exceptionnelle', 'personnel', 'poli', 'min', 'pied', 'deux', 'parcs', 'thème', 'chambres', 'fantastiques', 'super', 'modernes', 'avon', 'décidé', 'seul', 'hôtel', 'irions', 'partir', 'maintenant', 'vaut', 'argent']",nov 2022,None, None,décembre 2021,5,no,en
"['très', 'recommandable']","['hôtel', 'pendant', 'jours', 'peux', 'seulement', 'dire', 'incroyable', 'chambres', 'très', 'spacieuses', 'décoration', 'très', 'agréable', 'salles', 'bain', 'très', 'propres', 'petit', 'déjeuner', 'très', 'bonnous', 'avon', 'dîné', 'soir', 'restaurant', 'carte', 'comme', 'restaurant', 'étoiles', 'aiméle', 'personnel', 'très', 'sympathique', 'presque', 'tout', 'monde', 'parle', 'espagnol', 'jour', 'départ', 'sentais', 'bien', 'lieu', 'quitter', 'chambre', 'heures', 'laissé', 'rester', 'jusqu', 'heures', 'minute', 'pied', 'parcs', 'donc', 'très', 'confortable', 'juste', 'côté', 'village', 'hôtel', 'bon', 'marché', 'revenons', 'recommencerons']",nov 2022,Palma de Majorque, Espagne,novembre 2022,5,no,es
['inacceptable'],"['lors', 'réservation', 'demandé', 'chambres', 'communicantes', 'agent', 'resa', 'dit', 'possible', 'car', 'réservé', 'chambre', 'supérieure', 'chambre', 'supérieure', 'vue', 'jardin', 'plus', 'cher', 'confirmé', 'prenais', 'deux', 'chambres', 'supérieures', 'vue', 'jardin', 'possible', 'fait', 'arrivée', 'quelle', 'déception', 'quand', 'aperçue', 'chambres', 'communicantes', 'plus', 'deux', 'chambres', 'accès', 'télédans', 'autre', 'manquait', 'robinet', 'eau', 'chaude', 'avon', 'appeler', 'service', 'technique', 'intervenir', 'fois', 'résultat', 'toujours', 'problème', 'robinet', 'eau', 'chaude', 'tournait', 'vide', 'enfin', 'deux', 'chambres', 'macarons', 'autre…']",nov 2022,Paris, France,novembre 2022,1,yes,fr
['marvelifique'],"['petits', 'soucis', 'magic', 'manquait', 'deux', 'coupon', 'repas', 'inclus', 'pension', 'complète', 'perte', 'temp', 'réception', 'retourner', 'fois', 'car', 'personnel', 'comprenait', 'vraisemblablement', 'très', 'bien', 'principe', 'voucher', 'pension', 'complète', 'deux', 'personnes', 'deux', 'jours', 'fait', 'entre', 'autres', 'repas', 'non', 'chambre', 'très', 'agréable', 'bien', 'manquait', 'peignoir', 'chaussons', 'fallu', 'réclamer', 'boutique', 'conciergerie', 'ensemble', 'personnel', 'très', 'accueillants', 'bienveillants', 'ensemble', 'magnifique', 'piscine', 'détendre', 'accueil', 'sympathique', 'restaurant', 'manhattan', 'malgré', 'attente', 'trop', 'longue', 'entrée', 'soir', 'cadre', 'magnifique', 'nourriture', 'italienne', 'raffinée', 'personnel', 'pro', 'petits…']",nov 2022,Paris, France,novembre 2022,4,yes,fr
"['évitez', 'être', 'dessus', 'restaurant']","['hôtel', 'situé', 'min', 'pied', 'parcs', 'studio', 'magnifiquement', 'décoréle', 'personnel', 'chaleureux', 'chambres', 'propres', 'spatieuses', 'enfants', 'adoré', 'gros', 'bémol', 'chambres', 'situées', 'dessus', 'restaurant', 'mal', 'insonorisées', 'bruits', 'chaise', 'dès', 'horribles']",nov 2022,Villiers-sur-Marne, France,novembre 2022,4,no,fr
"['première', 'expérience', 'hôtelière']","['toute', 'évidence', 'hôtel', 'typique', 'lequel', 'séjournerais…', 'comme', 'disneyland', 'hotel', 'proche', 'rénovation', 'partenaire', 'aime', 'cela', 'semble', 'être', 'meilleur', 'choix', 'lors', 'visite', 'disneyland', 'paris', 'réservons', 'forfait', 'directement', 'auprès', 'sais', 'pourquoi', 'changer', 'catégorie', 'chambre', 'lors', 'réservation', 'défaut', 'catégorie', 'chambres', 'supérieures', 'plus', 'basse', 'chambre', 'standard', 'comme', 'prévu', 'hôtel', 'thème', 'décorée', 'affiches', 'nôtre', 'thème', 'spiderman', 'rien', 'crier', 'juste', 'chambre', 'propre', 'confortable', 'minute', 'pied', 'entrée', 'fonction', 'vitesse', 'flânerez', 'également', 'long', 'boutique', 'restaurant', 'long', 'chemin', 'recommanderai', 'passer', 'temp', 'vérifier', 'leurs', 'installation', 'avon', 'fait', 'juste', 'bar', 'somme', 'allés', 'au…']",nov 2022,Kuala Lumpur, Malaisie,mai 2022,4,yes,en
['deception'],"['bonjour', 'peu', 'déçue', 'hôtel', 'trouve', 'froid', 'personnel', 'également', 'froid', 'allée', 'deux', 'autres', 'hôtels', 'beaucoup', 'plus', 'chaleureux', 'cosy', 'chambre', 'bruyante', 'bruits', 'chaise', 'donc', 'mal', 'insonorisée', 'dommage']",nov 2022,None, None,novembre 2022,3,no,fr
['magique'],"['malheureusement', 'passé', 'nuit', 'cet', 'hôtel', 'magique', 'emplacement', 'vraiment', 'stratégique', 'car', 'situé', 'deux', 'accolé', 'village', 'donc', 'pratique', 'tout', 'atteindre', 'tout', 'nouvel', 'hôtel', 'vraiment', 'avantgardiste', 'structure', 'style', 'gratteciel', 'newyorkais', 'magnifique', 'chambres', 'belle', 'modernes', 'immenses', 'grand', 'lit', 'confortable', 'canapé', 'également', 'agréable', 'meilleure', 'partie', 'télévision', 'placée', 'derrière', 'miroir', 'lorsqu', 'allumée', 'panneau', 'bienvenue', 'nom', 'nom', 'réservation', 'note', 'négative', 'malheureusement', 'salle', 'bain', 'très', 'sale', 'cheveux', 'toilette', 'cheveux', 'poussière', 'sol', 'dommage', 'négatif', 'personnel', 'tous', 'super', 'sympa', 'service', 'bagages', 'parfait', 'pas…']",nov 2022,Settimo Torinese, Italie,novembre 2022,4,yes,it
"['super', 'hôtel']","['adoré', 'ici', 'grandes', 'chambres', 'bons', 'équipements', 'très', 'propres', 'lit', 'confortables', 'aussi', 'nourriture', 'hôtel', 'bonne', 'petit', 'déjeuner', 'dîner', 'excellent', 'choix', 'toute', 'famille', 'grande', 'rencontre', 'personnages', 'aussi', 'vraiment', 'près', 'aussi']",nov 2022,None, None,octobre 2022,5,no,en
"['mérite', 'étoiles']","['hôtel', 'refait', 'neuf', 'pourtant', 'déjà', 'mauvais', 'état', 'miroir', 'salle', 'bain', 'tombe', 'ruine', 'montants', 'porte', 'cassés', 'vitre', 'fenêtre', 'brisée', 'télé', 'téléphone', 'panne', 'lit', 'parapluie', 'demande', 'mail', 'oublié', 'arrivée', 'avon', 'attendre', 'heure', 'récupérer', 'quand', 'coucher', 'bébéles', 'lit', 'seulement', 'comment', 'cela', 'possible', 'étoiles', 'attendons', 'encore', 'petite', 'attention', 'promise', 'enfants', 'petit', 'déjeuner', 'excellent', 'avon', 'faire', 'jeunes', 'femmes', 'très', 'aimables', 'accueil', 'petit', 'déjeuner', 'fort', 'désagréable', 'conciergerie', 'aimez', 'travail', 'changez', 'bref', 'établissement', 'vaut', 'étoiles', 'tarif']",oct 2022,None, None,octobre 2022,3,yes,fr
